item_id,title,category,author,year,image_url,tags,synopsis
1,Naruto,Shounen,Masashi Kishimoto,1999,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/NarutoCoverTankobon1.jpg/250px-NarutoCoverTankobon1.jpg,"Ninja, Luta, Superpoderes, Aventura, Amizade","Naruto Uzumaki é um jovem ninja que busca reconhecimento e sonha em se tornar o Hokage, o líder de sua vila. A história conta a sua jornada de crescimento, batalhas épicas e a busca por laços."
2,Berserk,Seinen,Kentaro Miura,1989,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/2452303-01_cropped.jpg,"Fantasia Sombria, Medieval, Espadas, Demônios, Vingança","Guts, um mercenário solitário e ex-membro do Bando do Falcão, viaja por um mundo medieval infestado de demônios em busca de vingança contra aquele que tirou tudo dele."
3,One Piece,Shounen,Eiichiro Oda,1997,https://comicvine.gamespot.com/a/uploads/scale_large/11136/111369808/6786544-one%20piece%201.jpg,"Piratas, Aventura, Comédia, Superpoderes, Tesouro","Monkey D. Luffy e sua tripulação de piratas navegam pela Grand Line em busca do maior tesouro do mundo, o One Piece, para se tornar o Rei dos Piratas."
4,Death Note,Suspense,Tsugumi Ohba,2003,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Death_Note_Vol_1.jpg/250px-Death_Note_Vol_1.jpg,"Psicológico, Policial, Sobrenatural, Inteligência, Crime","Light Yagami encontra um caderno sobrenatural que mata qualquer pessoa cujo nome seja escrito nele. Ele tenta criar um novo mundo livre do mal, enquanto é caçado pelo detetive L."
5,Attack on Titan,Shounen,Hajime Isayama,2009,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Shingeki_no_Kyojin_manga_volume_1.jpg/250px-Shingeki_no_Kyojin_manga_volume_1.jpg,"Ação, Mistério, Pós-apocalíptico, Gigantes, Militar","A humanidade vive dentro de cidades cercadas por enormes muralhas que os protegem de gigantes devoradores de homens. Eren Yeager jura eliminar todos os Titãs após ter sua cidade destruída."
6,Bleach,Shounen,Tite Kubo,2001,https://upload.wikimedia.org/wikipedia/en/3/3f/Bleach_%28manga%29_1.png,"Sobrenatural, Espadas, Shinigami, Ação, Espíritos","Ichigo Kurosaki, um adolescente que pode ver fantasmas, ganha os poderes de um Ceifador de Almas e deve proteger os vivos dos espíritos malignos e guiar as almas para o além."
7,Fullmetal Alchemist,Shounen,Hiromu Arakawa,2001,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Fullmetal123.jpg/250px-Fullmetal123.jpg,"Alquimia, Aventura, Steampunk, Militar, Filosofia","Dois irmãos usam a alquimia em uma tentativa falha de trazer a mãe de volta à vida. Agora, eles buscam a Pedra Filosofal para restaurar seus corpos."
8,Tokyo Ghoul,Seinen,Sui Ishida,2001,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Tokyo_Ghoul_volume_1_cover.jpg/250px-Tokyo_Ghoul_volume_1_cover.jpg,"Terror, Sobrenatural, Psicológico, Monstros, Urbano","Ken Kaneki se torna meio-ghoul após um encontro mortal. Ele deve aprender a viver entre duas sociedades: a humana e a dos ghouls, que se alimentam de carne humana."
9,Hunter x Hunter,Shounen,Yoshihiro Togashi,1998,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/5977324-1.jpg,"Aventura, Luta, Estratégia, Superpoderes, Exploração","Gon Freecss quer se tornar um Hunter, um aventureiro de elite, para encontrar seu pai. Ele enfrenta exames mortais e inimigos poderosos usando o sistema de energia Nen."
10,JoJo's Bizarre Adventure,Shounen,Hirohiko Araki,1987,https://comicvine.gamespot.com/a/uploads/scale_large/11133/111331711/6446278-volume_1.jpg,"Ação, Sobrenatural, Vampiros, Stands, Épico","A saga da família Joestar e suas batalhas contra o mal sobrenatural através das gerações, usando poderes como Hamon e Stands."
11,Vagabond,Seinen,Takehiko Inoue,1998,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/2938558-01.jpg,"Histórico, Samurai, Espadas, Filosofia, Artes Marciais","Baseado na vida do lendário espadachim Miyamoto Musashi, a história narra sua jornada de um jovem violento a um mestre iluminado da espada."
12,Claymore,Seinen,Norihiro Yagi,2001,https://comicvine.gamespot.com/a/uploads/scale_large/0/3125/5149037-cla1.jpg,"Fantasia Sombria, Monstros, Espadas, Ação, Medieval","Guerreiras meio-humanas e meio-yoma, conhecidas como Claymores, protegem a humanidade de monstros devoradores de carne, enquanto lutam para manter sua própria humanidade."
13,Black Clover,Shounen,Yuki Tabata,2015,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5238079-01.jpg,"Magia, Ação, Rivalidade, Fantasia, Demônios","Asta, um garoto nascido sem magia em um mundo onde magia é tudo, sonha em se tornar o Rei Mago com seu poder de anti-magia."
14,Demon Slayer,Shounen,Koyoharu Gotouge,2016,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/6497309-01.jpg,"Espadas, Demônios, Histórico, Ação, Família","Tanjiro Kamado se torna um caçador de demônios para encontrar uma cura para sua irmã, Nezuko, que foi transformada em um demônio."
15,Chainsaw Man,Shounen,Tatsuki Fujimoto,2018,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/6818656-01.jpg,"Terror, Comédia Sombria, Demônios, Gore, Ação","Denji, um jovem pobre, funde-se com seu cão-demônio e ganha a habilidade de transformar partes de seu corpo em motosserras, trabalhando como caçador de demônios."
16,Parasyte,Seinen,Hitoshi Iwaaki,1988,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4934222-01.jpg,"Sci-Fi, Terror, Psicológico, Alienígenas, Sobrenatural","Alienígenas parasitas invadem a Terra e tomam o controle de cérebros humanos. Shinichi consegue impedir que um parasita tome seu cérebro, ficando apenas em sua mão."
17,Akira,Seinen,Katsuhiro Otomo,1982,https://comicvine.gamespot.com/a/uploads/scale_large/0/4/26118-4041-29012-1-akira.jpg,"Sci-Fi, Cyberpunk, Distopia, Psíquico, Gangues","Em uma Neo-Tokyo pós-apocalíptica, um líder de gangue de motoqueiros tenta salvar seu amigo que adquiriu poderes telecinéticos devastadores ligados a um projeto militar secreto."
18,Gantz,Seinen,Hiroya Oku,2000,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5551803-01.jpg,"Sci-Fi, Ação, Violência, Jogos Mortais, Alienígenas","Pessoas que morreram são revividas e forçadas a participar de um jogo brutal onde devem caçar alienígenas para ganhar pontos e recuperar sua liberdade."
